liyi@liyi-Lenovo-IdeaPad-Y400:~/svn/dblpmining$ python hw1.py 1
[[u'Andrew W. Fitzgibbon', u'Jamie Shotton'], 0.7619047619047619]
[[u'Jiliang Tang', u'Xia Hu'], 0.7530991735537191]
[[u'Claudia Plant', u'Xiao He'], 0.7521929824561404]
[[u'Alfred Krzywicki', u'Wayne Wobcke'], 0.75]
[[u'Michael Bain', u'Wayne Wobcke'], 0.75]
[[u'Giovanni Zappella', u'Fabio Vitale'], 0.75]
[[u'Vatche Ishakian', u'Azer Bestavros'], 0.75]
[[u'Michael Bain', u'Alfred Krzywicki'], 0.75]
[[u'Alfred Krzywicki', u'Yang Sok Kim'], 0.75]
[[u'Wayne Wobcke', u'Yang Sok Kim'], 0.75]
[[u'Michael Bain', u'Yang Sok Kim'], 0.75]
[[u'Alfred Krzywicki', u'Ashesh Mahidadia'], 0.75]
[[u'Michael Bain', u'Ashesh Mahidadia'], 0.75]
[[u'Wayne Wobcke', u'Ashesh Mahidadia'], 0.75]
[[u'Yang Sok Kim', u'Ashesh Mahidadia'], 0.75]
[[u'Kristen Grauman', u'Boqing Gong'], 0.75]
[[u'Quan Pan', u'Jean Dezert'], 0.75]
[[u'Zhunga Liu', u'Jean Dezert'], 0.75]
[[u'Qi Mao', u'Li Wang'], 0.75]
[[u'Jos\xe9 Miguel Hern\xe1ndez-Lobato', u'Neil Houlsby'], 0.75]
[[u'Qiang Yang 0001', u'ErHeng Zhong'], 0.7058823529411765]
[[u'Svetha Venkatesh', u'Santu Rana'], 0.705761316872428]
[[u'Rong Jin', u'Lijun Zhang 0005'], 0.7042328042328041]
[[u'Claudia Perlich', u'Brian Dalessandro'], 0.6944444444444445]
[[u'Shiqiang Yang', u'Wenwu Zhu 0001'], 0.6944444444444445]
[[u'Xindong Wu', u'Wei Ding 0003'], 0.6877192982456141]
[[u'Rong Jin', u'Tianbao Yang'], 0.6752701080432173]
[[u'Svetha Venkatesh', u'Sunil Kumar Gupta'], 0.675]
[[u'Alex Deng', u'Toby Walker'], 0.6749999999999999]
[[u'Ya Xu', u'Toby Walker'], 0.6749999999999999]
[[u'Geoffrey E. Hinton', u'Yichuan Tang'], 0.6749999999999999]
[[u'Fang Liu', u'Shuang Wang'], 0.6749999999999999]
[[u'Vincent S. Tseng', u'Cheng-Wei Wu'], 0.6666666666666666]
[[u'Gareth J. F. Jones', u'Debasis Ganguly'], 0.6666666666666666]
[[u'Jianping Fan', u'Kuizhi Mei'], 0.6666666666666666]
[[u'Evangelos E. Papalexakis', u'Nicholas D. Sidiropoulos'], 0.6666666666666666]
[[u'Hongyan Liu', u'Jun He'], 0.6666666666666666]
[[u'Hui Xiong', u'Yong Ge'], 0.6616835016835017]
[[u'Ruslan Salakhutdinov', u'Yichuan Tang'], 0.6510416666666666]
[[u'Jiliang Tang', u'Huiji Gao'], 0.6464646464646464]
[[u'Hannu Toivonen', u'Jason Tsong-Li Wang'], 0.6428571428571428]
